RAZON SOCIAL,CUIT,SERVICIO,RESOLUCION,FECHA RES,EXPEDIENTE,DOMICILIO,LOCALIDAD,PROVINCIA,C.POSTAL,TELEFONO
COOPERATIVA DE ELECTRICIDAD DE LAS TOSCAS LIMITADA,30-57172237-9,SRSVF,188 ENACOM/2020,03/03/2020,EXPAFSCA 202/2013,SIMON BOLIVAR 284  ,LAS TOSCAS,BUENOS AIRES,B6453XAC,011-4554-4500
COOPERATIVA DE ELECTRICIDAD DE MONTECARLO LIMITADA,30-54573798-8,SVA,9074  ENACOM/2016,14/12/2016,EXPAFTIC 4374/2015,LIBERTADOR GRAL. SAN MARTIN 2541  ,MONTECARLO,MISIONES,N3384ALB,03751-48-1555
COOPERATIVA DE ELECTRICIDAD DE MONTECARLO LIMITADA,30-54573798-8,SRSVF,1305 COMFER/1994,,EXPCOMFER 646/1994,LIBERTADOR GRAL. SAN MARTIN 2541  ,MONTECARLO,MISIONES,N3384ALB,03751-48-1555
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,SVA,   10SC  2011,31/01/2011,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,STL,  304SC  2005,20/10/2005,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,REVEN,  304SC  2005,20/10/2005,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,STP,  304SC  2005,20/10/2005,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,STLDN,  304SC  2005,20/10/2005,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,STLDI,  304SC  2005,20/10/2005,EXPCNC 2011/2004,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RANCHOS LIMITADA,30-54576124-2,SRSVF,127 ENACOM/2020,02/03/2020,EXPAFSCA 2928/2014,YRIGOYEN PRESIDENTE HIPOLITO 3674  ,RANCHOS,BUENOS AIRES,B1987BBN,02241-47-5757
COOPERATIVA DE ELECTRICIDAD DE RIO PRIMERO LIMITADA,30-54574098-9,SVA,118SC  2012,19/11/2012,EXPCNC 3535/2004,CORRIENTES 199  ,RIO PRIMERO,CORDOBA,X5127APC,03574-42-0054
COOPERATIVA DE ELECTRICIDAD DE RIO PRIMERO LIMITADA,30-54574098-9,SRSVF,1896 ENACOM/2018,18/12/2018,EXPENACOM 7479/2016,CORRIENTES 199  ,RIO PRIMERO,CORDOBA,X5127APC,03574-42-0054
COOPERATIVA DE ELECTRICIDAD DE SAN CARLOS DE BARILOCHE LIMITADA,30-54572108-9,SVA,   54SC  1996,20/08/1996,EXPCNT E 29637/1996,JOHN O CONNOR 56  ,SAN CARLOS DE BARILOCHE,RIO NEGRO,8400,0294-452-6111
COOPERATIVA DE ELECTRICIDAD DE SAN CARLOS DE BARILOCHE LIMITADA,30-54572108-9,SAVR, 2385SC  1997,14/08/1997,EXPCNT E 29637/1996,JOHN O CONNOR 56  ,SAN CARLOS DE BARILOCHE,RIO NEGRO,8400,0294-452-6111
COOPERATIVA DE ELECTRICIDAD DE SAN CARLOS DE BARILOCHE LIMITADA,30-54572108-9,STD, 3728SC  1997,17/12/1997,EXPCNT E 29637/1996,JOHN O CONNOR 56  ,SAN CARLOS DE BARILOCHE,RIO NEGRO,8400,0294-452-6111
COOPERATIVA DE ELECTRICIDAD LIMITADA DE PEDRO LURO,30-54573149-1,STL,  187SC  2004,13/08/2004,EXPCNC E 10710/1998,CALLE Nº 101 1076  ,PEDRO LURO,BUENOS AIRES,B8148AHX,03472-49-2372
COOPERATIVA DE ELECTRICIDAD LIMITADA DE PEDRO LURO,30-54573149-1,STLDI,  187SC  2004,13/08/2004,EXPCNC E 10710/1998,CALLE Nº 101 1076  ,PEDRO LURO,BUENOS AIRES,B8148AHX,03472-49-2372
COOPERATIVA DE ELECTRICIDAD LIMITADA DE PEDRO LURO,30-54573149-1,STLDN,  187SC  2004,13/08/2004,EXPCNC E 10710/1998,CALLE Nº 101 1076  ,PEDRO LURO,BUENOS AIRES,B8148AHX,03472-49-2372
COOPERATIVA DE ELECTRICIDAD LIMITADA DE PEDRO LURO,30-54573149-1,STP,  187SC  2004,13/08/2004,EXPCNC E 10710/1998,CALLE Nº 101 1076  ,PEDRO LURO,BUENOS AIRES,B8148AHX,03472-49-2372
COOPERATIVA DE ELECTRICIDAD LIMITADA DE PEDRO LURO,30-54573149-1,SVA, 2417SC  1998,03/11/1998,EXPCNC E 10710/1998,CALLE Nº 101 1076  ,PEDRO LURO,BUENOS AIRES,B8148AHX,03472-49-2372
COOPERATIVA DE ELECTRICIDAD LIMITADA DE VILLA VALERIA,33-54572634-9,STB, 2883CNT 1992,09/09/1992,EXPSC 16398/1988,GENERAL MARTIN MIGUEL DE GUEMES 1137  ,VILLA VALERIA,CORDOBA,6273,03583-49-7000
COOPERATIVA DE ELECTRICIDAD LIMITADA DE VILLA VALERIA,33-54572634-9,VA-ISP,1841  ENACOM/2017,19/09/2017,EXPENACOM 10984/2016,GENERAL MARTIN MIGUEL DE GUEMES 1137  ,VILLA VALERIA,CORDOBA,6273,03583-49-7000
COOPERATIVA DE ELECTRICIDAD LIMITADA DE VILLA VALERIA,33-54572634-9,SRSVF,89 AFSCA/2015,,EXPAFSCA 451/2013,GENERAL MARTIN MIGUEL DE GUEMES 1137  ,VILLA VALERIA,CORDOBA,6273,03583-49-7000
COOPERATIVA DE ELECTRICIDAD OBRAS Y SERVICIOS PUBLICOS DE CALCHIN LIMITADA,33-54572603-9,SVA,6034  ENACOM/2016,14/07/2016,EXPCNC 10776/2010,BELGRANO 598  ,CALCHIN,CORDOBA,5969,03573-49-7183
COOPERATIVA DE ELECTRICIDAD OBRAS Y SERVICIOS PUBLICOS DE CALCHIN LIMITADA,33-54572603-9,SRSVF,1355 AFSCA/2012,,EXPAFSCA 1032/2010,BELGRANO 598  ,CALCHIN,CORDOBA,5969,03573-49-7183
COOPERATIVA DE ELECTRICIDAD RURAL DE ALTO VERDE Y ALGARROBO GRANDE LIMITADA,30-54576414-4,SVA, 1394SC  1998,17/06/1998,EXPCNC E 1780/1998,25 DE MAYO 43  ,LIBERTADOR GRAL SAN MARTIN,MENDOZA,M5570AAA,02623-43-9900
COOPERATIVA DE ELECTRICIDAD Y AGUAS CORRIENTES DE GENERAL LEVALLE LIMITADA,30-54573521-7,VA-ISP,9075  ENACOM/2016,14/12/2016,EXPENACOM 9645/2016,FRANCISCO MARTELLI 801  ,GENERAL LEVALLE,CORDOBA,X6132AZO,011-4545-8926
COOPERATIVA DE ELECTRICIDAD Y AGUAS CORRIENTES DE GENERAL LEVALLE LIMITADA,30-54573521-7,SRSVF,1059 AFSCA/2014,,EXPAFSCA 194/2011,FRANCISCO MARTELLI 801  ,GENERAL LEVALLE,CORDOBA,X6132AZO,011-4545-8926
COOPERATIVA DE ELECTRICIDAD Y ANEXOS DE DE COLONIA BELGRANO LIMITADA,30-55483647-6,VA-ISP,4511 ENACOM/2019,17/10/2019,EX- -APN-REYS#ENACOM 15674580/2019,RIVADAVIA 1094  ,COLONIA BELGRANO,SANTA FE,2257,03404-49-6199
COOPERATIVA DE ELECTRICIDAD Y ANEXOS DE RIO COLORADO LIMITADA,30-54576698-8,VA-ISP,1170 ENACOM/2020,19/10/2020,EX- -APN-SDYME#ENACOM 11392598/2020,SARMIENTO 581  ,RIO COLORADO,RIO NEGRO,8138,--
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,STL,  100SC  2003,13/02/2003,EXPCNC 4145/2002,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,SVA,  284SC  2008,25/09/2008,EXPCNC 4145/2002,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,STLDN,6018  ENACOM/2016,14/07/2016,EXPCNC 4145/2002,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,STLDI,6018  ENACOM/2016,14/07/2016,EXPCNC 4145/2002,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,STP,6018  ENACOM/2016,14/07/2016,EXPCNC 4145/2002,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y ANEXOS LIMITADA C.E.Y.A.L.,30-54575268-5,SRSVF,4667 ENACOM/2017,,EXPAFSCA 367/2010,25 DE MAYO 186  ,VICUÑA MACKENNA,CORDOBA,X6140CTB,03583-42-0634
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,STL,   49SC  2002,30/05/2002,EXPCNC E 7000/2001,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,STLDN,   75SC  2006,17/07/2006,EXPCNC E 7000/2001,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,STLDI,   75SC  2006,17/07/2006,EXPCNC E 7000/2001,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,STP,   75SC  2006,17/07/2006,EXPCNC E 7000/2001,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,SVA,   75SC  2006,17/07/2006,EXPCNC E 7000/2001,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS DE GENERAL ROCA LIMITADA,30-54575183-2,SRSVF,567 COMFER/1995,,EXPCOMFER 814/1992,SANTIAGO DE LINIERS 437  ,GENERAL ROCA,CORDOBA,X2592BBE,03472-49-2138
COOPERATIVA DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS LA PAZ LIMITADA (CELP),30-54574876-9,SVA,  196SC  2007,27/11/2007,EXPCNC 2724/2004,BERON DE ASTRADA 1486  ,LA PAZ,ENTRE RIOS,E3190BGR,03437-42-2245
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,STL,   74SC  2002,20/06/2002,EXPCNC E 7879/2001,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,STLDN,1389 ENACOM/2018,29/11/2018,EXPCNC E 7879/2001,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,STLDI,1389 ENACOM/2018,29/11/2018,EXPCNC E 7879/2001,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,STP,1389 ENACOM/2018,29/11/2018,EXPCNC E 7879/2001,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,SVA,2162  ENACOM/2017,05/04/2017,EXPCNC E 7879/2001,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y PROMOCION REGIONAL ISLA VERDE LIMITADA,30-57068503-8,SRSVF,6938 ENACOM/2017,,EXPAFSCA 2294/2014,JOSE MARIA PAZ Y BARTOLOME MITRE S/Nº  ,ISLA VERDE (DPTO. MARCOS JUAREZ),CORDOBA,2661,03468-40-0037
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,STL,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,STLDN,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,STLDI,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,SVA,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,REVEN,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,STD,   55SC  2013,21/03/2013,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE DIONISIA LIMITADA,30-54572900-4,SRSVF,1120 ENACOM/2019,12/03/2019,EXPCNC 9304/2009,ALVARADO 181  ,COMANDANTE NICANOR OTAMENDI,BUENOS AIRES,B7613AGC,02291-48-0216
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,STL,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,STLDI,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,STLDN,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,STP,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,SVA,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,STD,847 AFTIC2015,26/11/2015,EXPCNC 7625/2011,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS LIMITADA DE ZARATE,30-54573231-5,SRSVF,356 ENACOM/2021,15/04/2021,EX- -APN-REYS#ENACOM 14035689/2020,BOLIVAR 998  ,ZARATE,BUENOS AIRES,B2800GPL,03487-42-2002
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ALTO ALEGRE LIMITADA,30-62319982-3,VA-ISP,987 ENACOM/2021,11/08/2021,EX- -APN-REYS#ENACOM 41608032/2021,BV. SAN MARTIN 64  ,ALTO ALEGRE,CORDOBA,5907,03537-58-5452
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ALTO ALEGRE LIMITADA,30-62319982-3,SRSVF,417 AFSCA/2014,,EXPAFSCA 2568/2011,BV. SAN MARTIN 64  ,ALTO ALEGRE,CORDOBA,5907,03537-58-5452
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,VA-ISP,2142  ENACOM/2017,05/04/2017,EXPENACOM 9965/2016,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,STL,182 ENACOM/2020,03/03/2020,EX- -APN-REYS#ENACOM 67472548/2019,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,STLDN,182 ENACOM/2020,03/03/2020,EX- -APN-REYS#ENACOM 67472548/2019,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,STLDI,182 ENACOM/2020,03/03/2020,EX- -APN-REYS#ENACOM 67472548/2019,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,STP,182 ENACOM/2020,03/03/2020,EX- -APN-REYS#ENACOM 67472548/2019,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE ARROYITO LIMITADA,30-54572078-3,SRSVF,800 AFSCA/2015,,EXPAFSCA 1542/2011,FAVARI 650  ,ARROYITO,CORDOBA,2434,03576-65-5644
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COLONIA MARINA LIMITADA,30-54576629-5,VA-ISP,1113 ENACOM/2019,12/03/2019,EX- -APN-SDYME#ENACOM 23180846/2017,25 DE MAYO 289  ,COLONIA MARINA,CORDOBA,X2428AAE,011-5253-8025
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COLONIA MARINA LIMITADA,30-54576629-5,SRSVF,771 AFSCA/2014,,EXPAFSCA 947/2011,25 DE MAYO 289  ,COLONIA MARINA,CORDOBA,X2428AAE,011-5253-8025
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COSTA SACATE LIMITADA,30-61569036-4,STB, 1804CNT 1993,13/04/1993,EXPSC 8777/1988,BOULEVARD CORDOBA 30  ,COSTA SACATE,CORDOBA,5961,03572-49-5000
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COSTA SACATE LIMITADA,30-61569036-4,SRSVF,123 ENACOM/2020,02/03/2020,EX- -APN-SDYME#ENACOM 18753311/2018,BOULEVARD CORDOBA 30  ,COSTA SACATE,CORDOBA,5961,03572-49-5000
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COSTA SACATE LIMITADA,30-61569036-4,SRSVR,123 ENACOM/2020,02/03/2020,EX- -APN-SDYME#ENACOM 18753311/2018,BOULEVARD CORDOBA 30  ,COSTA SACATE,CORDOBA,5961,03572-49-5000
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE COSTA SACATE LIMITADA,30-61569036-4,VA-ISP,123 ENACOM/2020,02/03/2020,EX- -APN-SDYME#ENACOM 18753311/2018,BOULEVARD CORDOBA 30  ,COSTA SACATE,CORDOBA,5961,03572-49-5000
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,STL,   20SC  2002,27/03/2002,EXPCNC E 6480/2001,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,STLDI,   28SC  2013,21/02/2013,EXPCNC E 6480/2001,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,STLDN,   28SC  2013,21/02/2013,EXPCNC E 6480/2001,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,STP,   28SC  2013,21/02/2013,EXPCNC E 6480/2001,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,SVA,   28SC  2013,21/02/2013,EXPCNC E 6480/2001,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE INRIVILLE LIMITADA,30-54575701-6,SRSVF,2415 AFSCA/2012,,EXPAFSCA 132/2010,PRESIDENTE H. YRIGOYEN 698  ,INRIVILLE,CORDOBA,X2587BEN,03467-41-0648
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS DE MATTALDI LIMITADA,30-54583676-5,STB, 1789CNT 1993,13/04/1993,EXPSC 9815/1988,SALTA 146  ,MATTALDI,CORDOBA,6271,03385-40-8503
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS LAS JUNTURAS LIMITADA,30-54572641-2,SVA,697 ENACOM / 2018,25/10/2018,EXPSC 8079/1989,PTE. HIPOLITO YRIGOYEN 701  ,LAS JUNTURAS,CORDOBA,X5965AVM,03532-49-2100
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS LAS JUNTURAS LIMITADA,30-54572641-2,STB, 1806CNT 1993,13/04/1993,EXPSC 8079/1989,PTE. HIPOLITO YRIGOYEN 701  ,LAS JUNTURAS,CORDOBA,X5965AVM,03532-49-2100
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS LAS JUNTURAS LIMITADA,30-54572641-2,SRSVF,1139 ENACOM/2020,16/10/2020,EX- -APN-REYS#ENACOM 48918241/2019,PTE. HIPOLITO YRIGOYEN 701  ,LAS JUNTURAS,CORDOBA,X5965AVM,03532-49-2100
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS SANTA ELVIRA LIMITADA,33-54574531-9,SVA,294  ENACOM/2017,25/08/2017,EXPCNC 12651/2014,DR. FRANCISCO SPERONI 163  ,BERNARDO LARROUDE,LA PAMPA,L6220AOC,02302-56-1328
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS SANTA ELVIRA LIMITADA,33-54574531-9,SRSVF,1589 ENACOM/2021,13/10/2021,EXPAFSCA 186/2015,DR. FRANCISCO SPERONI 163  ,BERNARDO LARROUDE,LA PAMPA,L6220AOC,02302-56-1328
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS SIL-PE LIMITADA,30-56766880-7,STB, 1800CNT 1993,13/04/1993,EXPSC 10798/1989,CORDOBA 47  ,COLONIA SILVIO PELLICO,CORDOBA,X5910AFA,0353-569-0618
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS SIL-PE LIMITADA,30-56766880-7,VA-ISP,7038  ENACOM/2017,31/07/2017,EXPENACOM 12134/2016,CORDOBA 47  ,COLONIA SILVIO PELLICO,CORDOBA,X5910AFA,0353-569-0618
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS SIL-PE LIMITADA,30-56766880-7,SRSVF,688 ENACOM/2019,12/02/2019,EXPAFSCA 812/2015,CORDOBA 47  ,COLONIA SILVIO PELLICO,CORDOBA,X5910AFA,0353-569-0618
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS Y DE CREDITO VILLA HUIDOBRO LIMITADA,30-54574890-4,VA-ISP,3682  ENACOM/2017,11/05/2017,EXPENACOM 12569/2016,SAN MARTIN 410  ,VILLA HUIDOBRO,CORDOBA,6275,02302-56-6653
COOPERATIVA DE ELECTRICIDAD Y SERVICIOS PUBLICOS Y DE CREDITO VILLA HUIDOBRO LIMITADA,30-54574890-4,SRSVF,1351 AFSCA/2012,,EXPAFSCA 1324/2010,SAN MARTIN 410  ,VILLA HUIDOBRO,CORDOBA,6275,02302-56-6653
"COOPERATIVA DE ELECTRICIDAD, AGUA POTABLE, OBRAS, VIVIENDA Y OTROS SERVICIOS PUBLICOS DE ROLON LIMITADA",30-54572528-9,VA-ISP,2110 ENACOM/2019,23/05/2019,EX- -APN-SDYME#ENACOM 29972423/2017,PEDRO RODRIGUEZ 277  ,ROLON,LA PAMPA,L6306AOE,02953-49-4111
"COOPERATIVA DE ELECTRICIDAD, CONSUMO, COMERCIALIZACION, VIVIENDA, SERVICIOS DE TELECOMUNICACIONES, TELEFONIA E INTERNET, SERVICIOS ASISTENCIALES GENERAL ALVEAR LIMITADA",30-52260126-4,SVA,   51SC  2011,03/05/2011,EXPCNC 3340/2003,ZAMENHOFF DR LAZARO LUIS 27  ,GENERAL ALVEAR,MENDOZA,M5620HTA,02625-42-3079
